name,ip4address,ip6address,tls_port,tls_name,tls_digest,tls_pubkey,dnssec,nologs,verified
"Cloudflare Primary",1.1.1.1,2606:4700:4700::1111,853,"cloudflare-dns.com",,,yes,yes,yes
"Cloudflare Secondary",1.0.0.1,2606:4700:4700::1001,853,"cloudflare-dns.com",,,yes,yes,yes
"Quad 9 Secure Primary",9.9.9.9,2620:fe::fe,853,"dns.quad9.net",,,yes,yes,yes
"Quad 9 Secure Secondary",149.112.112.112,2620:fe::9,853,"dns.quad9.net",,,yes,yes,yes
"Quad 9 Insecure Primary",9.9.9.10,2620:fe::10,853,"dns.quad9.net",,,yes,yes,yes
"Quad 9 Insecure Secondary",149.112.112.10,2620:fe::fe:10,853,dns.quad9.net,,,yes,yes,yes
"AdGuard DNS Primary",176.103.130.130,2a00:5a60::ad1:0ff,853,dns.adguard.com,,,yes,yes,yes
"AdGuard DNS Secondary",176.103.130.131,2a00:5a60::ad2:0ff,853,dns.adguard.com,,,yes,yes,yes
"AdGuard-Family Primary",176.103.130.132,2a00:5a60::bad1:0ff,853,dns-family.adguard.com,,,yes,yes,yes
"AdGuard-Family Secondary",176.103.130.134,2a00:5a60::bad2:0ff,853,dns-family.adguard.com,,,yes,yes,yes
"Cleanbrowsing-Security Primary",185.228.168.9,2a0d:2a00:1::2,853,security-filter-dns.cleanbrowsing.org,,,yes,yes,yes
"Cleanbrowsing-Security Secondary",185.228.169.9,2a0d:2a00:2::2,853,security-filter-dns.cleanbrowsing.org,,,yes,yes,yes
"Cleanbrowsing-Family Primary",185.228.168.168,2a0d:2a00:1::0,853,family-filter-dns.cleanbrowsing.org,,,yes,yes,yes
"Cleanbrowsing-Family Secondary",185.228.168.169,2a0d:2a00:2::0,853,family-filter-dns.cleanbrowsing.org,,,yes,yes,yes
"Cleanbrowsing-Adult Primary",185.228.168.10,2a0d:2a00:1::1,853,adult-filter-dns.cleanbrowsing.org,,,yes,yes,yes
"Cleanbrowsing-Adult Secondary",185.228.168.11,2a0d:2a00:2::1,853,adult-filter-dns.cleanbrowsing.org,,,yes,yes,yes
"Google Primary",8.8.8.8,2001:4860:4860::8888,853,"dns.google",,,yes,yes,yes
"Google Secondary",8.8.4.4,2001:4860:4860::8844,853,"dns.google",,,yes,yes,yes
"dns.bitgeek.in server",139.59.51.46,,853,"dns.bitgeek.in","sha256",FndaG4ezEBQs4k0Ya3xt3z4BjFEyQHd7B75nRyP1nTs=,yes,yes,yes
"dns.cmrg.net Primary",199.58.81.218,2001:470:1c:76d::53,853,"dns.cmrg.net","sha256",3IOHSS48KOc/zlkKGtI46a9TY9PPKDVGhE3W2ZS4JZo=,no,yes,yes
"dns.cmrg.net Primary",199.58.81.218,2001:470:1c:76d::53,443,"dns.cmrg.net","sha256",3IOHSS48KOc/zlkKGtI46a9TY9PPKDVGhE3W2ZS4JZo=,yes,yes,yes
"dns.cmrg.net Secondary",199.58.81.218,2001:470:1c:76d::53,853,"dns.cmrg.net","sha256",5zFN3smRPuHIlM/8L+hANt99LW26T97RFHqHv90awjo=,no,yes,yes
"dns.cmrg.net Secondary",199.58.81.218,2001:470:1c:76d::53,443,"dns.cmrg.net","sha256",5zFN3smRPuHIlM/8L+hANt99LW26T97RFHqHv90awjo=,yes,yes,yes
"dns.larsdebruin.net/dns1.darkmoon.is",51.15.70.167,,853,"dns.larsdebruin.net ","sha256",AAT+rHoKx5wQkWhxlfrIybFocBu3RBrPD2/ySwIwmvA=,yes,yes,yes
"dns.neutopia.org server",89.234.186.112,2a00:5884:8209::2,853,"dns.neutopia.org","sha256",wTeXHM8aczvhRSi0cv2qOXkXInoDU+2C+M8MpRyT3OI=,yes,yes,yes
"dns.neutopia.org server",89.234.186.112,2a00:5884:8209::2,443,"dns.neutopia.org","sha256",wTeXHM8aczvhRSi0cv2qOXkXInoDU+2C+M8MpRyT3OI=,yes,yes,yes
"dns-tls.bitwiseshift.net server",81.187.221.24,2001:8b0:24:24::24,853,"dns-tls.bitwiseshift.net","sha256",YmcYWZU5dd2EoblZHNf1jTUPVS+uK3280YYCdz4l4wo=,yes,yes,yes
"dot.securedns.eu server",146.185.167.43,2a03:b0c0:0:1010::e9a:3001,853,"dot.securedns.eu","sha256",h3mufC43MEqRD6uE4lz6gAgULZ5/riqH/E+U+jE3H8g=,yes,yes,yes
"Fondation RESTENA",158.64.1.29,2001:a18:1::29,853,"kaitain.restena.lu","sha256",7ftvIkA+UeN/ktVkovd/7rPZ6mbkhVI7/8HnFJIiLa4=,yes,yes,yes
"getdnsapi.net server",185.49.141.37,2a04:b900:0:100::38,853,"getdnsapi.net","sha256",foxZRnIh9gZpWnl+zEiKa0EJ2rdCGroMWm02gaxSc9Q=,yes,yes,yes
"Go6Lab",,2001:67c:27e4::35,853,"privacydns.go6lab.si","sha256",g5lqtwHia/plKqWU/Fe2Woh4+7MO3d0JYqYJpj/iYAw=,yes,yes,yes
"Lorraine Data Network self-signed cert",80.67.188.188,2001:913::8,853,"","sha256",WaG0kHUS5N/ny0labz85HZg+v+f0b/UQ73IZjFep0nM=,yes,yes,yes
"Lorraine Data Network self-signed cert",80.67.188.188,2001:913::8,443,"","sha256",WaG0kHUS5N/ny0labz85HZg+v+f0b/UQ73IZjFep0nM=,yes,yes,yes
"NIC Chile self-signed cert",200.1.123.46,2001:1398:1:0:200:1:123:46,853,"","sha256",sG6kj+XJToXwt1M6+9BeCz1SOj/1/mdZn56OZvCyZZc=,yes,yes,yes
"ns1.dnsprivacy.at server",94.130.110.185,2a01:4f8:c0c:3c03::2,853,"ns1.dnsprivacy.at","sha256",vqVQ9TcoR9RDY3TpO0MTXw1YQLjF44zdN3/4PkLwtEY=,yes,yes,yes
"ns2.dnsprivacy.at server",94.130.110.178,2a01:4f8:c0c:3bfc::2,853,"ns2.dnsprivacy.at","sha256",s5Em89o0kigwfBF1gcXWd8zlATSWVXsJ6ecZfmBDTKg=,yes,yes,yes
#QARC. Note: this currently doesn't support strict mode!",184.105.193.78,2620:ff:c000:0:1::64:25,853,"tls-dns-u.odvr.dns-oarc.net","sha256",pOXrpUt9kgPgbWxBFFcBTbRH2heo2wHwXp1fd4AEVXI=,yes,yes,yes
"Surfnet/Sinodun Primary",145.100.185.15,2001:610:1:40ba:145:100:185:15,853,"dnsovertls.sinodun.com","sha256",62lKu9HsDVbyiPenApnc4sfmSYTHOVfFgL3pyB+cBL4=,yes,yes,yes
"Surfnet/Sinodun Primary",145.100.185.15,,443,"dnsovertls.sinodun.com","sha256",62lKu9HsDVbyiPenApnc4sfmSYTHOVfFgL3pyB+cBL4=,yes,yes,yes
"Surfnet/Sinodun Secondary",145.100.185.16,2001:610:1:40ba:145:100:185:16,853,"dnsovertls1.sinodun.com","sha256",cE2ecALeE5B+urJhDrJlVFmf38cJLAvqekONvjvpqUA=,yes,yes,yes
"Surfnet/Sinodun Secondary",145.100.185.16,,443,"dnsovertls1.sinodun.com","sha256",cE2ecALeE5B+urJhDrJlVFmf38cJLAvqekONvjvpqUA=,yes,yes,yes
"Surfnet/Sinodun TLS 1.2 and 1.3",145.100.185.18,2001:610:1:40ba:145:100:185:18,853,"dnsovertls3.sinodun.com","sha256",5SpFz7JEPzF71hditH1v2dBhSErPUMcLPJx1uk2svT8=,yes,yes,yes
"Surfnet/Sinodun Knot resolver",145.100.185.17,2001:610:1:40ba:145:100:185:17,853,"dnsovertls2.sinodun.com","sha256",NAXBESvpjZMnPWQcrxa2KFIkHV/pDEIjRkA3hLWogSg=,no,yes,yes
"Uncensored DNS server",89.233.43.71,2a01:3a0:53:53::0,853,"unicast.censurfridns.dk","sha256",wikE3jYAA6jQmXYTr/rbHeEPmC78dQwZbQp6WdrseEs=,yes,yes,yes
"Yeti",,2001:4b98:dc2:43:216:3eff:fea9:41a,853,"dns-resolver.yeti.eu.org","sha256",YxtXAorQNSo+333ko1ctuXcnpMcplPaOI/GCM+YeMQk=,yes,yes,yes
